exchange,exchangename,scripcode,scripshortname
2,NSEFO,151271,OBEROIRLTY
2,NSEFO,151272,OBEROIRLTY
2,NSEFO,151383,OBEROIRLTY
2,NSEFO,151384,OBEROIRLTY
2,NSEFO,151385,OBEROIRLTY
2,NSEFO,151386,OBEROIRLTY
2,NSEFO,151387,OBEROIRLTY
2,NSEFO,151388,OBEROIRLTY
2,NSEFO,151389,OBEROIRLTY
2,NSEFO,151390,OBEROIRLTY
2,NSEFO,151391,OBEROIRLTY
2,NSEFO,151392,OBEROIRLTY
2,NSEFO,151393,OBEROIRLTY
2,NSEFO,151394,OBEROIRLTY
2,NSEFO,151395,OBEROIRLTY
2,NSEFO,151396,OBEROIRLTY
2,NSEFO,151397,OBEROIRLTY
2,NSEFO,151398,OBEROIRLTY
2,NSEFO,151589,OBEROIRLTY
2,NSEFO,151590,OBEROIRLTY
2,NSEFO,151704,OFSS
2,NSEFO,151705,OFSS
2,NSEFO,151706,OFSS
2,NSEFO,151707,OFSS
2,NSEFO,151708,OFSS
2,NSEFO,151709,OFSS
2,NSEFO,151710,OFSS
2,NSEFO,151711,OFSS
2,NSEFO,151712,OFSS
2,NSEFO,151713,OFSS
2,NSEFO,151714,OFSS
2,NSEFO,149826,NMDC
2,NSEFO,149827,NMDC
2,NSEFO,149828,NMDC
2,NSEFO,149829,NMDC
2,NSEFO,149830,NMDC
2,NSEFO,149831,NMDC
